"sbj","age","sex","block","phase","trialnr","sound","exclude","AbsoluteAsynchrony","RelativeAsynchrony","AbsoluteCorrectness","RelativeCorrectness","Asynchrony"
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.58485576923077,1.26434060655963,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.8255608974359,0.715749508256713,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,0.744515669515669,0.815688709510504,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,1.2508547008547,0.722741433021807,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0691244239631336
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0296404275996113
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.129488859764089
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.067012987012987
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.28034188034188,1.01063331060348,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.727635327635328,0.903288130650335,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,7.39766483516484,3.21380575929998,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,3.7451048951049,1.23998323554065,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0761904761904762
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0709426627793975
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0385321100917431
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0719480519480519
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.330288461538462,0.412104434155887,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,6.76576923076923,2.56794199321197,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,11.2722222222222,2.7928383655642,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,4.04207459207459,1.41192660550459,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.13921146953405
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0923226433430515
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.240163098878695
