user_id, session_id, start, finish, start_level, finish_level
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:36:40.7204530+01:00,2024-03-13T10:37:35.1396970+01:00,1,1
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:36:40.7204530+01:00,2024-03-13T10:37:39.2027510+01:00,1,1
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:37:41.8850050+01:00,2024-03-13T10:38:54.7047340+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:37:41.8850050+01:00,2024-03-13T10:38:54.7091130+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:37:41.8850050+01:00,2024-03-13T10:39:05.6774690+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:39:10.4135690+01:00,2024-03-13T10:40:17.7202830+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:39:10.4135690+01:00,2024-03-13T10:40:19.7744000+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,dd266500-1b74-4e83-b609-63ddff0bf1f6,2024-03-13T10:39:10.4135690+01:00,2024-03-13T10:40:41.1266870+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:25.0845290+01:00,2024-03-13T18:10:05.9671310+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:25.0845290+01:00,2024-03-13T18:10:08.6298720+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:25.0845290+01:00,2024-03-13T18:10:09.3866490+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-3,99bc2be1-2b27-466e-8a78-0e8a9b574ada,2024-03-13T18:31:47.6333630+01:00,2024-03-13T18:32:49.8539310+01:00,1,1
1ca3fadde4a210fdaa838a85c7469580-3,99bc2be1-2b27-466e-8a78-0e8a9b574ada,2024-03-13T18:31:47.6333630+01:00,2024-03-13T18:32:49.9502940+01:00,1,1
1ca3fadde4a210fdaa838a85c7469580-3,99bc2be1-2b27-466e-8a78-0e8a9b574ada,2024-03-13T18:31:47.6333630+01:00,2024-03-13T18:32:51.8346280+01:00,1,1
1ca3fadde4a210fdaa838a85c7469580-3,99bc2be1-2b27-466e-8a78-0e8a9b574ada,2024-03-13T18:31:47.6333630+01:00,2024-03-13T18:32:54.0509170+01:00,1,1
1ca3fadde4a210fdaa838a85c7469580-3,885cd6cd-371e-41f8-bb53-dd279ab2975c,2024-03-13T22:20:14.0541150+01:00,2024-03-13T22:21:36.3547810+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-3,885cd6cd-371e-41f8-bb53-dd279ab2975c,2024-03-13T22:20:14.0541150+01:00,2024-03-13T22:21:41.9233390+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-3,885cd6cd-371e-41f8-bb53-dd279ab2975c,2024-03-13T22:20:14.0541150+01:00,2024-03-13T22:21:44.3472570+01:00,1,2
user_id, session_id, start, finish, start_level, finish_level
user_id, session_id, start, finish, start_level, finish_level
user_id, session_id, start, finish, start_level, finish_level
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:33:27.1368130+01:00,2024-03-26T22:34:45.6521560+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:33:27.1368130+01:00,2024-03-26T22:34:48.0778170+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:34:50.2055570+01:00,2024-03-26T22:36:03.5264160+01:00,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:34:50.2055570+01:00,2024-03-26T22:36:06.4985030+01:00,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:36:08.4268740+01:00,2024-03-26T22:37:40.6930570+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:36:08.4268740+01:00,2024-03-26T22:37:50.6631580+01:00,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:38:15.6639380+01:00,2024-03-26T22:39:49.9003360+01:00,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:38:15.6639380+01:00,2024-03-26T22:39:51.9412710+01:00,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2860ca0f-67d0-4462-9c8d-a7ad8376f067,2024-03-26T22:38:15.6639380+01:00,2024-03-26T22:39:53.0897430+01:00,1,3
