user,total_beats,correct_beats

No_Taja_93e,821,480
No_Ajda_862,3651,1457
No_Masa_b14,5724,3392
No_Gloria_f97,6726,5173
No_Mark,7737,5630
No_Rene_fbc,8873,7877
No_Ziga,9930,7957
No_MajaL_feb,10520,8147
No_Mitja,13854,9798
No_Sarah_717,15544,10443
No_Mirkala_8be,16428,12620
No_Aljaz,16442,13460
No_Okti,17333,13011
No_Jernej_848,18642,16893
No_Gasper,43932,33891

user,total_beats,correct_beats
Story_Natalija_580,967,468
Story_Tajda_c3d,2292,1084
Story_Lucija_7e8,3296,1450
Story_Prosky,4889,3890
Story_MajaJ_c96,4908,3826
Story_Zoja_7d6,5463,2624
Story_NinaU_602,5916,4432
Story_NinaP,8509,6200
Story_Klara_4ca,9343,7830
Story_Anej,15188,10242
Story_NinaKa_2ea,15346,10302
Story_Jurij,15965,11717
Story_Jan,16615,13072
Story_Tilen,17387,13200
Story_Teja_49d,25175,19547
