user_id,starttime,finishtime,playtime,start_level,finish_level,name
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:43:59.068671+00:00,2024-03-13 09:44:52.966924+00:00,53.898253,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:44:56.445873+00:00,2024-03-13 09:48:08.259736+00:00,191.813863,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:48:48.831070+00:00,2024-03-13 09:50:50.645926+00:00,121.814856,1,4,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:51:00.199193+00:00,2024-03-13 09:52:14.016447+00:00,73.817254,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:14:20.283454+00:00,2024-03-13 18:16:45.699271+00:00,145.415817,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:17:09.499845+00:00,2024-03-13 18:18:51.326888+00:00,101.827043,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:18:59.115805+00:00,2024-03-13 18:21:36.432201+00:00,157.316396,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:22:21.996914+00:00,2024-03-13 18:24:29.509226+00:00,127.512312,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:24:46.974988+00:00,2024-03-13 18:26:11.696245+00:00,84.721257,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:26:15.938776+00:00,2024-03-13 18:28:52.767267+00:00,156.828491,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-14 14:52:05.973484+00:00,2024-03-14 14:54:51.889732+00:00,165.916248,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-14 14:54:57.230354+00:00,2024-03-14 14:57:52.043332+00:00,174.812978,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-14 14:57:59.692379+00:00,2024-03-14 15:01:15.686091+00:00,195.993712,1,6,
806dfbb080378e366102b82925600fbc-1,2024-03-16 21:35:12.520298+00:00,2024-03-16 21:38:25.422329+00:00,192.902031,6,10,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:43:06.625645+00:00,2024-03-28 14:44:02.643625+00:00,56.01798,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:44:07.818087+00:00,2024-03-28 14:45:29.635867+00:00,81.81778,1,2,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:45:33.407515+00:00,2024-03-28 14:46:32.730543+00:00,59.323028,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:46:36.944366+00:00,2024-03-28 14:47:38.766372+00:00,61.822006,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:47:47.373342+00:00,2024-03-28 14:48:51.691930+00:00,64.318588,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:48:56.948137+00:00,2024-03-28 14:50:02.351870+00:00,65.403733,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:50:06.985598+00:00,2024-03-28 14:52:43.799046+00:00,156.813448,1,2,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:53:00.998796+00:00,2024-03-28 14:54:24.332245+00:00,83.333449,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:54:30.632840+00:00,2024-03-28 14:55:30.451530+00:00,59.81869,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 14:55:33.540984+00:00,2024-03-28 14:57:41.873158+00:00,128.332174,1,3,
806dfbb080378e366102b82925600fbc-3,2024-03-28 19:35:47.817732+00:00,2024-03-28 19:36:49.322532+00:00,61.5048,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 19:36:53.968117+00:00,2024-03-28 19:37:53.314512+00:00,59.346395,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-28 19:37:57.395026+00:00,2024-03-28 19:39:41.476200+00:00,104.081174,1,2,
806dfbb080378e366102b82925600fbc-3,2024-03-28 19:42:17.613605+00:00,2024-03-28 19:43:19.676521+00:00,62.062916,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-29 11:47:41.770414+00:00,2024-03-29 11:48:51.259876+00:00,69.489462,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-29 11:48:55.710627+00:00,2024-03-29 11:51:17.528102+00:00,141.817475,1,2,
806dfbb080378e366102b82925600fbc-3,2024-03-29 11:51:21.536465+00:00,2024-03-29 11:53:05.356827+00:00,103.820362,6,7,
806dfbb080378e366102b82925600fbc-3,2024-03-29 11:53:10.808458+00:00,2024-03-29 11:54:32.126374+00:00,81.317916,6,7,
806dfbb080378e366102b82925600fbc-3,2024-03-29 11:55:02.717005+00:00,2024-03-29 11:57:27.036756+00:00,144.319751,1,2,
806dfbb080378e366102b82925600fbc-3,2024-03-29 11:57:56.877183+00:00,2024-03-29 12:00:00.189615+00:00,123.312432,1,2,
806dfbb080378e366102b82925600fbc-3,2024-03-29 12:00:14.702103+00:00,2024-03-29 12:03:28.029478+00:00,193.327375,1,3,
806dfbb080378e366102b82925600fbc-3,2024-03-31 09:37:23.954691+00:00,2024-03-31 09:43:00.371034+00:00,336.416343,1,5,
806dfbb080378e366102b82925600fbc-3,2024-03-31 09:44:30.018762+00:00,2024-03-31 09:47:21.836228+00:00,171.817466,1,3,
806dfbb080378e366102b82925600fbc-3,2024-03-31 09:47:29.154504+00:00,2024-03-31 09:50:08.386723+00:00,159.232219,1,3,
806dfbb080378e366102b82925600fbc-3,2024-03-31 16:55:58.490427+00:00,2024-03-31 16:56:52.404316+00:00,53.913889,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-31 16:56:59.830279+00:00,2024-03-31 16:58:28.646845+00:00,88.816566,1,1,
806dfbb080378e366102b82925600fbc-3,2024-03-31 17:01:02.689200+00:00,2024-03-31 17:02:01.998748+00:00,59.309548,1,1,
806dfbb080378e366102b82925600fbc-3,2024-04-01 14:11:09.826056+00:00,2024-04-01 14:13:34.234115+00:00,144.408059,1,2,
806dfbb080378e366102b82925600fbc-3,2024-04-01 14:13:59.078418+00:00,2024-04-01 14:16:00.887466+00:00,121.809048,1,3,
806dfbb080378e366102b82925600fbc-3,2024-04-01 14:16:10.686957+00:00,2024-04-01 14:18:20.261399+00:00,129.574442,1,3,
806dfbb080378e366102b82925600fbc-3,2024-04-01 14:18:25.492333+00:00,2024-04-01 14:22:33.315604+00:00,247.823271,1,5,
806dfbb080378e366102b82925600fbc-3,2024-04-01 14:22:47.006105+00:00,2024-04-01 14:28:02.830259+00:00,315.824154,1,7,
806dfbb080378e366102b82925600fbc-3,2024-04-01 14:28:24.338012+00:00,2024-04-01 14:30:00.664608+00:00,96.326596,6,7,
806dfbb080378e366102b82925600fbc-3,2024-04-03 18:35:32.549301+00:00,2024-04-03 18:40:46.957127+00:00,314.407826,1,5,
806dfbb080378e366102b82925600fbc-3,2024-04-03 18:41:02.170004+00:00,2024-04-03 18:43:56.000920+00:00,173.830916,1,5,
806dfbb080378e366102b82925600fbc-3,2024-04-03 18:43:59.146347+00:00,2024-04-03 18:46:06.227557+00:00,127.08121,6,8,
806dfbb080378e366102b82925600fbc-3,2024-04-03 18:46:11.457957+00:00,2024-04-03 18:51:42.266927+00:00,330.80897,1,7,
806dfbb080378e366102b82925600fbc-3,2024-04-04 10:05:48.096369+00:00,2024-04-04 10:09:04.035725+00:00,195.939356,1,4,
806dfbb080378e366102b82925600fbc-3,2024-04-04 10:09:14.972060+00:00,2024-04-04 10:22:37.798308+00:00,802.826248,1,19,
806dfbb080378e366102b82925600fbc-3,2024-04-06 21:39:21.825860+00:00,2024-04-06 21:41:02.336975+00:00,100.511115,16,17,
806dfbb080378e366102b82925600fbc-3,2024-04-06 21:44:39.186478+00:00,2024-04-06 21:47:53.096390+00:00,193.909912,6,10,
806dfbb080378e366102b82925600fbc-3,2024-04-06 21:48:05.633345+00:00,2024-04-06 21:50:08.957120+00:00,123.323775,11,13,
806dfbb080378e366102b82925600fbc-3,2024-04-06 21:50:12.326087+00:00,2024-04-06 21:55:45.649635+00:00,333.323548,1,8,
806dfbb080378e366102b82925600fbc-3,2024-04-08 12:29:33.863138+00:00,2024-04-08 12:39:31.763429+00:00,597.900291,1,16,
806dfbb080378e366102b82925600fbc-3,2024-04-14 13:19:42.321705+00:00,2024-04-14 13:24:28.744794+00:00,286.423089,1,7,
806dfbb080378e366102b82925600fbc-3,2024-04-14 13:24:33.543855+00:00,2024-04-14 13:26:56.984048+00:00,143.440193,6,9,
806dfbb080378e366102b82925600fbc-3,2024-04-14 13:27:24.768958+00:00,2024-04-14 13:38:01.101245+00:00,636.332287,1,16,
806dfbb080378e366102b82925600fbc-3,2024-04-16 21:49:32.603484+00:00,2024-04-16 21:53:03.483049+00:00,210.879565,1,1,
806dfbb080378e366102b82925600fbc-3,2024-04-16 21:53:23.405130+00:00,2024-04-16 22:05:26.505633+00:00,723.100503,1,21,
Total,,,11125.301849999998,,,No_Okti_games.csv
