user_id,starttime,finishtime,playtime,start_level,finish_level,name
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:36:40.720453+00:00,2024-03-13 09:37:35.139697+00:00,54.419244,1,1,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:37:41.885005+00:00,2024-03-13 09:38:54.704734+00:00,72.819729,1,2,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:39:10.413569+00:00,2024-03-13 09:40:17.720283+00:00,67.306714,1,2,
1ca3fadde4a210fdaa838a85c7469580-5,2024-03-13 17:08:25.084529+00:00,2024-03-13 17:10:05.967131+00:00,100.882602,1,2,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 17:31:47.633363+00:00,2024-03-13 17:32:49.853931+00:00,62.220568,1,1,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 21:20:14.054115+00:00,2024-03-13 21:21:36.354781+00:00,82.300666,1,2,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:33:27.136813+00:00,2024-03-26 21:34:45.652156+00:00,78.515343,1,2,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:34:50.205557+00:00,2024-03-26 21:36:03.526416+00:00,73.320859,1,3,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:36:08.426874+00:00,2024-03-26 21:37:40.693057+00:00,92.266183,1,2,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:38:15.663938+00:00,2024-03-26 21:39:49.900336+00:00,94.236398,1,3,
Total,,,778.2883059999999,,,Story_Natalija_580_games.csv
