user_id,starttime,finishtime,playtime,start_level,finish_level,name
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:39:41.239576+00:00,2024-04-03 11:41:21.553211+00:00,100.313635,1,3,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:41:34.745715+00:00,2024-04-03 11:43:31.559693+00:00,116.813978,1,3,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:43:34.110933+00:00,2024-04-03 11:46:03.591507+00:00,149.480574,1,5,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:46:13.724943+00:00,2024-04-03 11:47:15.041330+00:00,61.316387,1,1,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:47:18.482691+00:00,2024-04-03 11:48:17.815925+00:00,59.333234,1,1,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:48:40.327843+00:00,2024-04-03 11:50:18.249938+00:00,97.922095,1,2,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:50:26.025952+00:00,2024-04-03 11:51:54.283394+00:00,88.257442,1,2,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:51:58.905511+00:00,2024-04-03 11:53:23.736104+00:00,84.830593,1,2,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:53:27.445226+00:00,2024-04-03 11:55:03.270663+00:00,95.825437,1,2,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:55:06.823090+00:00,2024-04-03 11:56:19.638665+00:00,72.815575,1,2,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:56:24.943604+00:00,2024-04-03 11:57:39.758090+00:00,74.814486,1,2,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-03 11:57:44.103641+00:00,2024-04-03 11:59:14.432115+00:00,90.328474,1,3,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-08 09:19:58.623126+00:00,2024-04-08 09:22:25.644382+00:00,147.021256,1,5,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-08 09:22:30.376668+00:00,2024-04-08 09:24:47.303112+00:00,136.926444,1,4,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-08 09:24:51.746184+00:00,2024-04-08 09:28:59.327961+00:00,247.581777,1,6,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-08 09:29:03.922171+00:00,2024-04-08 09:33:15.150019+00:00,251.227848,6,10,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-08 09:33:22.162385+00:00,2024-04-08 09:39:24.088071+00:00,361.925686,1,9,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-08 09:40:16.192996+00:00,2024-04-08 09:45:30.598845+00:00,314.405849,6,13,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-09 19:02:48.385193+00:00,2024-04-09 19:15:59.748864+00:00,791.363671,1,19,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-09 19:16:19.333063+00:00,2024-04-09 19:19:37.588706+00:00,198.255643,16,21,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-12 19:02:31.529388+00:00,2024-04-12 19:06:49.492175+00:00,257.962787,1,7,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-12 19:06:59.975753+00:00,2024-04-12 19:14:37.463643+00:00,457.48789,1,13,
4bcdf7d61304341ccf456d97fcf56aa5-3,2024-04-12 19:17:40.444445+00:00,2024-04-12 19:29:40.365856+00:00,719.921411,1,21,
Total,,,4976.1321720000005,,,Story_NinaP_games.csv
