user_id,starttime,finishtime,playtime,start_level,finish_level,name
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:36:40.720453+00:00,2024-03-13 09:37:35.139697+00:00,54.419244,1,1,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:37:41.885005+00:00,2024-03-13 09:38:54.704734+00:00,72.819729,1,2,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:39:10.413569+00:00,2024-03-13 09:40:17.720283+00:00,67.306714,1,2,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 21:20:14.054115+00:00,2024-03-13 21:21:36.354781+00:00,82.300666,1,2,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-27 15:53:54.678658+00:00,2024-03-27 15:55:08.680186+00:00,74.001528,1,1,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-27 15:55:42.853079+00:00,2024-03-27 15:56:43.669272+00:00,60.816193,1,1,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-27 15:56:52.808203+00:00,2024-03-27 15:57:54.136604+00:00,61.328401,1,1,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-27 15:57:59.134584+00:00,2024-03-27 15:58:54.409751+00:00,55.275167,1,1,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-27 15:59:02.645133+00:00,2024-03-27 16:00:29.470103+00:00,86.82497,1,1,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 18:27:26.727289+00:00,2024-03-28 18:29:07.999464+00:00,101.272175,1,3,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 18:29:14.759590+00:00,2024-03-28 18:33:49.810474+00:00,275.050884,1,5,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 18:34:22.015617+00:00,2024-03-28 18:38:25.927170+00:00,243.911553,1,5,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 18:38:34.645271+00:00,2024-03-28 18:42:14.493051+00:00,219.84778,1,7,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 20:19:50.405227+00:00,2024-03-28 20:21:43.391427+00:00,112.9862,6,9,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 20:21:47.050284+00:00,2024-03-28 20:23:15.372614+00:00,88.32233,6,8,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-28 20:23:18.852147+00:00,2024-03-28 20:26:41.053413+00:00,202.201266,6,10,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-29 21:21:09.776003+00:00,2024-03-29 21:28:08.527764+00:00,418.751761,6,15,
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-30 19:12:16.458909+00:00,2024-03-30 19:16:01.073412+00:00,224.614503,11,15,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-31 10:13:44.675432+00:00,2024-03-31 10:14:51.487366+00:00,66.811934,1,1,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-31 10:15:04.280106+00:00,2024-03-31 10:16:21.097856+00:00,76.81775,1,4,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-31 10:16:46.939664+00:00,2024-03-31 10:17:39.767589+00:00,52.827925,1,3,
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-31 10:18:30.181321+00:00,2024-03-31 10:19:41.509030+00:00,71.327709,1,4,
Total,,,2769.8363820000004,,,Story_Prosky_games.csv
