user_id,starttime,finishtime,playtime,start_level,finish_level,name
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:36:44.845747+00:00,2024-03-13 09:37:56.249283+00:00,71.403536,1,2,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:38:06.494696+00:00,2024-03-13 09:39:48.823461+00:00,102.328765,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:39:53.374791+00:00,2024-03-13 09:43:06.196144+00:00,192.821353,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:43:59.068671+00:00,2024-03-13 09:44:52.966924+00:00,53.898253,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:44:56.445873+00:00,2024-03-13 09:48:08.259736+00:00,191.813863,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:48:48.831070+00:00,2024-03-13 09:50:50.645926+00:00,121.814856,1,4,
806dfbb080378e366102b82925600fbc-1,2024-03-13 09:51:00.199193+00:00,2024-03-13 09:52:14.016447+00:00,73.817254,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 14:16:59.247577+00:00,2024-03-13 14:19:17.658399+00:00,138.410822,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:14:20.283454+00:00,2024-03-13 18:16:45.699271+00:00,145.415817,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:17:09.499845+00:00,2024-03-13 18:18:51.326888+00:00,101.827043,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:18:59.115805+00:00,2024-03-13 18:21:36.432201+00:00,157.316396,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:22:21.996914+00:00,2024-03-13 18:24:29.509226+00:00,127.512312,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:24:46.974988+00:00,2024-03-13 18:26:11.696245+00:00,84.721257,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-13 18:26:15.938776+00:00,2024-03-13 18:28:52.767267+00:00,156.828491,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-14 14:52:05.973484+00:00,2024-03-14 14:54:51.889732+00:00,165.916248,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-14 14:54:57.230354+00:00,2024-03-14 14:57:52.043332+00:00,174.812978,1,5,
806dfbb080378e366102b82925600fbc-1,2024-03-14 14:57:59.692379+00:00,2024-03-14 15:01:15.686091+00:00,195.993712,1,6,
806dfbb080378e366102b82925600fbc-1,2024-03-14 15:01:42.578408+00:00,2024-03-14 15:04:03.975159+00:00,141.396751,6,9,
806dfbb080378e366102b82925600fbc-1,2024-03-14 19:21:00.839947+00:00,2024-03-14 19:22:42.265563+00:00,101.425616,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-14 19:22:54.845970+00:00,2024-03-14 19:24:44.163986+00:00,109.318016,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-14 19:24:54.532989+00:00,2024-03-14 19:28:11.859849+00:00,197.32686,6,10,
806dfbb080378e366102b82925600fbc-1,2024-03-14 19:28:30.755297+00:00,2024-03-14 19:36:29.540299+00:00,478.785002,1,13,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:10:20.039047+00:00,2024-03-15 15:13:34.937358+00:00,194.898311,11,15,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:13:52.553701+00:00,2024-03-15 15:17:10.368061+00:00,197.81436,11,15,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:17:20.763399+00:00,2024-03-15 15:19:02.584911+00:00,101.821512,6,8,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:19:15.566095+00:00,2024-03-15 15:20:59.883755+00:00,104.31766,11,13,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:21:07.155377+00:00,2024-03-15 15:22:02.585960+00:00,55.430583,11,11,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:22:07.125236+00:00,2024-03-15 15:25:32.951973+00:00,205.826737,11,15,
806dfbb080378e366102b82925600fbc-1,2024-03-15 15:25:52.517447+00:00,2024-03-15 15:29:22.841626+00:00,210.324179,6,10,
806dfbb080378e366102b82925600fbc-1,2024-03-16 21:28:08.602311+00:00,2024-03-16 21:29:49.632473+00:00,101.030162,1,3,
806dfbb080378e366102b82925600fbc-1,2024-03-16 21:29:54.348011+00:00,2024-03-16 21:34:15.160014+00:00,260.812003,1,7,
806dfbb080378e366102b82925600fbc-1,2024-03-16 21:35:12.520298+00:00,2024-03-16 21:38:25.422329+00:00,192.902031,6,10,
Total,,,4910.082739,,,No_Rene_fbc_games.csv
