sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 1; 0; 83; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 2; 534; 80; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 3; 811; 76; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 4; 1350; 76; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 5; 1645; 60; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 6; 2146; 68; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 7; 2343; 52; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 8; 2498; 128; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 9; 3112; 132; space
2323; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 10; 4047; NA; return
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 1; 0; 59; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 2; 264; 72; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 3; 763; 72; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 4; 1032; 84; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 5; 1562; 72; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 6; 1799; 60; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 7; 2290; 64; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 8; 2552; 64; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 9; 2983; 56; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 10; 3141; 52; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 11; 3285; 52; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 12; 3742; 72; space
2323; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 13; 5306; 64; return
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 1; 0; 143; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 2; 643; 124; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 3; 1290; 112; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 4; 1962; 140; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 5; 2667; 64; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 6; 2808; 88; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 7; 3445; 124; space
2323; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 8; 4972; 76; return
2323; 22; ženski; ritem; eksperiment; 1; R1_easy_tapping.wav; 1; 0; 87; space
2323; 22; ženski; ritem; eksperiment; 1; R1_easy_tapping.wav; 2; 493; 72; space
2323; 22; ženski; ritem; eksperiment; 1; R1_easy_tapping.wav; 3; 710; 76; space
2323; 22; ženski; ritem; eksperiment; 1; R1_easy_tapping.wav; 4; 965; 92; space
2323; 22; ženski; ritem; eksperiment; 1; R1_easy_tapping.wav; 5; 1450; 88; space
2323; 22; ženski; ritem; eksperiment; 1; R1_easy_tapping.wav; 6; 1685; 72; space
