"sbj","age","sex","block","phase","trialnr","sound","exclude","AbsoluteAsynchrony","RelativeAsynchrony","AbsoluteCorrectness","RelativeCorrectness","Asynchrony"
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.482692307692308,0.692386247588789,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.309134615384615,0.221666024900526,1,1,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,4.7018315018315,3.4858467935391,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,1.56125356125356,1.91466432685385,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.108141321044547
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0736151603498542
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.133420707732634
"f1affc326cbb36a64746d5f2c19973b6-2",9,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0857142857142857
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.803418803418803,0.294584690553746,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.91682692307692,0.312919925101884,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,6.42140039447732,2.65502308698321,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,2.37920227920228,1.99571240105541,0,0,NA
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.108141321044547
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.134596695821186
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0888597640891219
"f1affc326cbb36a64746d5f2c19973b6-1",11,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0693506493506494
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,2.53788461538462,2.62001385876115,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.11538461538462,0.913204393505253,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,6.8146449704142,2.65349775443404,0,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,0.491025641025641,0.186539239482201,1,0,NA
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0580645161290323
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0930515063168124
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0902418682235196
"e312a03f18c76df29a479bfa21057063-1",14,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0483116883116883
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.85897435897436,2.368896484375,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.861217948717949,0.375743522532513,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","ritem","eksperiment",2,"R_M1_tapping.wav",0,3.00726495726496,0.324495602690119,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","ritem","eksperiment",3,"R_MS2_tapping.wav",0,1.18903133903134,0.653523489932886,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.116436251920123
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.277210884353741
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.104062909567497
"72bdb79df0c1714322ce2fc32d45b2ad-1",10,"nebinaren","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.113246753246753
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,8.65048076923077,1.04862426477918,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.16396011396011,1.09836313119111,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,20.7872377622378,1.04438164893617,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,2.91011396011396,2.97044811671877,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0946236559139785
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.101554907677357
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.361467889908257
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.184415584415584
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,3.40360576923077,3.70666864256076,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","eksperiment",1,"R_E1_tapping.wav",0,2.84334935897436,2.35258258116346,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","eksperiment",2,"R_M1_tapping.wav",0,1.12250712250712,0.463580455879034,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","eksperiment",3,"R_MS2_tapping.wav",0,3.13304843304843,0.805796652200868,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0771121351766513
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.131438289601555
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.144954128440367
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0927272727272727
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.428365384615385,0.356151852416527,0,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.222596153846154,0.046197583511016,1,1,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,0.438390313390313,0.50151916915258,0,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,1.32022792022792,0.492042203147353,0,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0350230414746544
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0638969873663751
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0115334207077326
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0264935064935065
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,3.27115384615385,3.155525606469,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,2.85224358974359,0.635883905013193,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,5.20868945868946,3.54453902688622,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,3.76894586894587,2.94693436960276,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.162365591397849
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.206025267249757
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0613368283093054
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.250649350649351
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.47435897435897,0.550698458574181,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.58041310541311,1.50109717868339,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,1.01705128205128,0.542560974097633,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,1.08005698005698,0.565504103165299,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0657450076804916
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0724003887269193
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0338138925294889
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0714285714285714
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.12451923076923,0.994762385277016,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.588621794871795,1.06493506493506,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,1.67519230769231,0.668136839129205,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,9.69197031039136,3.0811080417434,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.163901689708141
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.181486880466472
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0678899082568807
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0615584415584416
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.826495726495726,1.11220983506414,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.416266025641026,0.205693340315133,0,1,NA
